#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-10T15:24:58 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-10T15:24:58	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/AJ/145/101/catalog&-out=Name,RAJ2000,DEJ2000,Dist,f_Dist&-out.max=unlimited	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/145/101	    IVOID of underlying data collection
#INFO	creator=Karachentsev I.D.	    First author or institution
#INFO	cites=bibcode:2013AJ....145..101K	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2013	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51450101	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-12	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	f_Dist	(A4)	Method used to obtain Dist (G1)	[ucd=meta.code]
Name	RAJ2000	DEJ2000	Dist	f_Dist
NGC0300           	00 54 53.5	-37 40 57	 2.15	Cep
And XVI           	00 59 29.8	+32 22 36	 0.52	TRGB
Sculptor          	01 00 09.4	-33 42 33	 0.09	TRGB
LGS 3             	01 03 55.0	+21 53 06	 0.65	TRGB
IC1613            	01 04 47.8	+02 08 00	 0.73	Cep
And X             	01 06 33.7	+44 48 16	 0.63	HB
UGC00685          	01 07 22.3	+16 41 02	 4.51	TRGB
KKH5              	01 07 32.5	+51 26 25	 4.27	TRGB
AM0106-382        	01 08 22.0	-38 12 33	 8.20	TF
NGC0404           	01 09 26.9	+35 43 03	 3.05	TRGB
And V             	01 10 17.1	+47 37 41	 0.81	TRGB
And XV            	01 14 18.7	+38 07 03	 0.76	TRGB
And II            	01 16 29.8	+33 25 09	 0.65	TRGB
And XXIV          	01 18 30.0	+46 21 58	 0.60	HB
And XXII          	01 27 40.0	+28 05 25	 0.79	TRGB
UGC01056          	01 28 47.2	+16 41 17	 7.30	mem
And XXIII         	01 29 21.8	+38 43 08	 0.73	TRGB
UGC01104          	01 32 42.3	+18 18 57	 7.55	BS
MESSIER033        	01 33 50.8	+30 39 37	 0.85	Cep
KKH6              	01 34 51.6	+52 05 30	 3.73	TRGB
NGC0625           	01 35 05.0	-41 26 11	 3.89	TRGB
NGC0628           	01 36 41.3	+15 47 12	 7.31	BS
UGC01171          	01 39 41.6	+15 54 11	 7.38	BS
DDO013            	01 40 09.6	+15 54 17	 9.04	BS
AGC112521         	01 41 07.9	+27 19 26	 6.52	h
KK13              	01 42 16.8	+26 22 04	 7.20	mem
KDG010            	01 43 41.4	+15 41 23	 7.87	BS
KK14              	01 44 42.7	+27 17 16	 7.20	mem
ESO245-005        	01 45 03.6	-43 35 53	 4.43	TRGB
KK15              	01 46 41.6	+26 48 05	 7.20	mem
IC1727            	01 47 30.1	+27 19 52	 7.20	BS
NGC0672           	01 47 53.2	+27 26 01	 7.20	BS
UGC01281          	01 49 32.3	+32 35 33	 4.94	TRGB
Phoenix           	01 51 06.3	-44 26 41	 0.44	HB
KK16              	01 55 20.6	+27 57 15	 5.47	TRGB
KK17              	02 00 09.9	+28 49 57	 4.90	TRGB
NGC0784           	02 01 16.8	+28 50 37	 4.97	TRGB
UGC1561           	02 04 05.0	+24 12 28	 7.20	TF
Cas1              	02 06 07.9	+69 00 36	 3.30	mem
UGC01703          	02 12 55.8	+32 48 51	 4.19	SBF
NGC0855           	02 14 03.7	+27 52 38	 9.73	SBF
Segue 2           	02 19 16.0	+20 10 31	 0.03	TRGB
NGC0891           	02 22 32.8	+42 20 48	 9.77	SBF
KKH11             	02 24 35.0	+56 00 42	 3.00	mem
[KK2000] 03       	02 24 42.7	-73 30 46	 4.10	mem
DDO019            	02 25 00.2	+36 02 16	 9.30	mem
d0226+3325        	02 26 52.8	+33 25 37	 9.30	mem
NGC0925           	02 27 16.0	+33 34 41	 9.29	Cep
Halogas           	02 27 20.0	+33 57 30	 9.30	mem
KKH12             	02 27 27.0	+57 29 16	 3.00	mem
DDO022            	02 32 54.0	+38 40 50	 9.30	mem
DDO025            	02 33 18.2	+33 29 28	 9.30	mem
DDO024            	02 33 43.0	+40 31 41	 9.80	mem
MB1               	02 35 35.6	+59 22 47	 3.00	mem
Maffei1           	02 36 35.5	+59 39 18	 3.01	FP
ESO115-021        	02 37 45.0	-61 20 28	 4.99	TRGB
Fornax            	02 39 54.7	-34 31 33	 0.14	TRGB
Maffei2           	02 41 54.5	+59 36 11	 2.80	TF
UGC02172          	02 42 10.8	+43 21 19	 9.30	TF
AGC122226         	02 46 38.9	+27 43 35	 8.56	TF
Dw2               	02 54 08.5	+59 00 19	 3.00	mem
MB3               	02 55 43.6	+58 51 42	 3.00	mem
ESO154-023        	02 56 50.4	-54 34 23	 5.55	TRGB
Dw1               	02 56 56.1	+58 54 42	 2.80	TF
ESO199-007        	02 58 04.1	-49 22 57	 6.56	h
NGC1156           	02 59 42.4	+25 14 15	 7.80	BS
LV J0300+2546     	03 00 39.3	+25 46 56	 7.80	mem
KKH18             	03 03 05.9	+33 41 40	 4.43	TRGB
ESO300-014        	03 09 37.8	-41 01 50	 9.80	TF
ESO300-016        	03 10 10.5	-40 00 11	 8.80	TF
NGC1291           	03 17 18.6	-41 06 29	 8.80	mem
NGC1313           	03 18 15.4	-66 29 51	 4.07	TRGB
NGC1311           	03 20 07.4	-52 11 06	 5.20	TRGB
UGC02684          	03 20 23.7	+17 17 42	 6.49	BS
KK27              	03 21 03.0	-66 19 11	 3.98	TRGB
UGC02716          	03 24 07.2	+17 45 15	 6.40	h
UGC02773          	03 32 07.1	+47 47 37	 5.40	h
IC1959            	03 33 11.8	-50 24 38	 6.05	TRGB
PGC013294         	03 35 56.8	-45 11 29	 7.98	h
NGC1400           	03 39 30.8	-18 41 17	24.50	SBF
KKH22             	03 44 56.6	+72 03 52	 3.50	mem
KK35              	03 45 12.6	+67 51 50	 3.16	TRGB
IC0342            	03 46 48.9	+68 05 45	 3.28	Cep
UGC02905          	03 57 00.6	+16 31 28	 5.83	BS
UGCA086           	03 59 49.5	+67 07 31	 2.96	TRGB
IC2038            	04 08 54.1	-55 59 32	19.20	TF
NGC1533           	04 09 51.8	-56 07 06	19.40	SBF
ESO483-013        	04 12 41.1	-23 09 32	 7.40	TF
CamA              	04 25 15.6	+72 48 21	 3.93	TRGB
NGC1592           	04 29 40.8	-27 24 31	 9.10	TF
NGC1569           	04 30 49.1	+64 50 53	 3.06	TRGB
UGCA092           	04 32 00.3	+63 36 50	 3.01	TRGB
NGC1560           	04 32 49.9	+71 52 52	 3.45	TRGB
NGC1637           	04 41 28.2	-02 51 29	 9.29	SN
CamB              	04 53 06.9	+67 05 57	 3.34	TRGB
NGC1705           	04 54 13.7	-53 21 41	 5.11	TRGB
HIPASS J0457-42   	04 56 58.7	-42 48 14	 7.20	TF
NGC1744           	04 59 58.2	-26 01 36	10.00	TF
ESO486-021        	05 03 19.7	-25 25 23	10.00	mem
NGC1800           	05 06 25.7	-31 57 15	 8.00	TF
UGCA105           	05 14 15.1	+62 34 51	 3.15	TRGB
LMC               	05 23 34.6	-69 45 22	 0.05	Cep
UGC03303          	05 24 59.5	+04 30 18	 7.14	BS
ESO553-046        	05 27 05.7	-20 40 41	 5.07	h
KK49              	05 41 41.5	+06 40 54	 5.15	h
Orion             	05 45 02.0	+05 04 06	 6.46	BS
A0554+07          	05 57 36.7	+07 29 31	 5.50	BS
KKH34             	05 59 41.2	+73 25 39	 4.61	TRGB
ESO364-029        	06 05 45.4	-33 04 54	 7.59	h
HIPASS J0607-34   	06 07 19.7	-34 12 16	 7.40	mem
NGC2188           	06 10 09.5	-34 06 22	 7.40	TF
ESO121-020        	06 15 54.5	-57 43 35	 6.05	TRGB
LV J0616-5745     	06 16 09.2	-57 45 55	 6.00	mem
UGCA127sat        	06 20 54.8	-08 39 01	 8.50	mem
UGCA127           	06 20 55.7	-08 29 44	 8.50	TF
WHI B0619-07      	06 22 13.8	-07 50 16	 8.40	TF
ESO489-056        	06 26 17.0	-26 15 56	 4.99	TRGB
HIPASS J0630+08   	06 30 09.0	+08 22 37	 3.55	h
UGC03475          	06 30 28.8	+39 30 14	20.00	TF
UGC03476          	06 30 29.2	+33 18 07	 7.01	BS
ESO490-017        	06 37 56.6	-25 59 59	 4.23	TRGB
CGMW1-260         	06 38 00.1	-15 01 22	10.80	TF
UGC03501          	06 38 38.4	+49 15 30	15.50	TF
KK55              	06 39 32.9	-40 43 13	 7.65	h
Carina            	06 41 36.7	-50 57 58	 0.10	TRGB
IC2171            	06 44 27.3	-17 55 57	 9.90	TF
NGC2283           	06 45 52.7	-18 12 37	10.00	TF
KKSG9             	06 46 56.9	-17 56 29	10.00	mem
KKH37             	06 47 45.8	+80 07 26	 3.39	TRGB
KKH38             	06 47 54.9	+47 30 50	19.30	TF
UGC03600          	06 55 40.0	+39 05 42	 7.24	BS
HIZSS003          	07 00 29.3	-04 12 30	 1.67	TRGB
FG202             	07 05 17.1	-58 31 14	 4.90	TRGB
HIPASS J0705-20   	07 05 45.0	-20 59 30	 7.23	h
ESO558-011        	07 06 56.8	-22 02 26	 8.40	TF
UGC03698          	07 09 18.8	+44 22 48	 7.24	BS
NGC2337           	07 10 13.6	+44 27 25	 7.87	BS
UGC03755          	07 13 51.8	+10 31 19	 7.41	TRGB
UGC03817          	07 22 44.5	+45 06 30	 8.55	BS
HIZSS008          	07 25 22.0	-24 28 31	 7.43	h
DDO043            	07 28 17.2	+40 46 13	 5.73	BS
NGC2366           	07 28 54.6	+69 12 19	 3.19	TRGB
HIZSS012          	07 30 08.3	-22 01 01	 7.20	h
ESO059-001        	07 31 19.3	-68 11 10	 4.57	TRGB
DDO044            	07 34 11.3	+66 53 10	 3.19	TRGB
AGC174585         	07 36 10.3	+09 59 11	 6.10	h'
HIZSS014          	07 36 22.6	-19 29 40	 7.35	h
NGC2403           	07 36 51.4	+65 35 58	 3.18	Cep
LV J0737+4724     	07 37 28.5	+47 24 33	15.70	TF
DDO046            	07 41 25.8	+40 06 45	 6.85	BS
DDO047            	07 41 55.0	+16 48 02	 8.05	TRGB
KK65              	07 42 31.2	+16 33 40	 8.02	TRGB
HIZSS021          	07 46 16.5	-28 28 11	 3.00	h
KKH40             	07 46 56.4	+51 17 46	 6.98	h
CGCG 262-028      	07 47 32.1	+51 11 29	 7.10	h
AGC174605         	07 50 21.7	+07 47 40	 6.00	h'
UGC04115          	07 57 01.8	+14 23 27	 7.73	TRGB
HIPASS J0801-21   	08 01 25.4	-21 59 51	 6.34	h
NGC2500           	08 01 53.2	+50 44 14	12.40	mem
LV J0812+4836     	08 12 39.5	+48 36 45	12.42	mem
NGC2537           	08 13 14.7	+45 59 26	12.20	mem
IC2233            	08 13 58.9	+45 44 32	12.20	TF
NGC2541           	08 14 40.1	+49 03 42	12.40	TF
HolmII            	08 19 04.0	+70 42 51	 3.39	TRGB
NGC2552           	08 19 20.5	+50 00 35	12.40	mem
ESO006-001        	08 19 23.3	-85 08 44	 6.70	h
ESO495-008        	08 21 00.7	-23 46 53	17.30	TF
KDG052            	08 23 56.0	+71 01 46	 3.55	TRGB
KUG 0821+321      	08 25 05.0	+32 01 03	 8.15	h
CGMW2-3473        	08 25 12.9	-28 08 25	 7.40	TF
DDO052            	08 28 28.5	+41 51 24	10.28	TRGB
DDO053            	08 34 06.5	+66 10 45	 3.56	TRGB
ESO495-021        	08 36 15.2	-26 24 34	 7.96	h
UGC04483          	08 37 03.0	+69 46 31	 3.21	TRGB
ESO496-010        	08 49 06.0	-26 19 12	 7.80	TF
AGC182595         	08 51 12.1	+27 52 48	 6.10	h'
UMa II            	08 51 30.0	+63 07 48	 0.03	TRGB
NGC2683           	08 52 40.9	+33 25 02	 7.73	SBF
KK69              	08 52 50.7	+33 47 52	 7.70	mem
KK70              	08 55 22.0	+33 33 33	 7.70	mem
UGC04704          	08 59 00.3	+39 12 36	15.20	TF
LSBC D564-08      	09 02 54.0	+20 04 31	 8.67	TRGB
ESO497-004        	09 03 03.1	-23 48 30	19.00	TF
HIPASS J0905-36   	09 06 00.0	-36 03 36	 7.93	h
UGC04787          	09 07 34.9	+33 16 36	20.30	TF
KKH46             	09 08 36.6	+05 17 32	 5.60	h
LSBC D634-03      	09 08 53.5	+14 34 55	 9.55	TRGB
KK71              	09 09 10.9	-23 22 04	 9.80	mem
DDO056            	09 09 46.6	-23 00 33	 9.80	mem
KK72              	09 11 42.3	-23 58 56	 9.80	mem
NGC2784 dw01      	09 12 18.5	-24 12 40	 9.80	mem
NGC2784           	09 12 19.4	-24 10 18	 9.82	SBF
KK73              	09 12 29.3	-24 14 28	 9.80	mem
UGCA153           	09 13 12.1	-19 24 31	21.90	TF
LV J0913+1937     	09 13 39.0	+19 37 08	 4.43	h
AGC198507         	09 15 25.8	+25 25 10	21.70	TF
UGC04879          	09 16 02.2	+52 50 24	 1.36	TRGB
HIPASS J0916-23b  	09 16 58.0	-23 16 47	10.30	mem
NGC2835           	09 17 52.9	-22 21 19	10.30	TF
NGC2787           	09 19 18.6	+69 12 12	 7.48	SBF
LSBC D565-06      	09 19 29.4	+21 36 12	 9.08	TRGB
UGC04932          	09 19 34.1	+51 06 33	20.60	TF
DDO062            	09 21 27.5	-22 30 02	18.60	TF
AGC198508         	09 22 57.0	+24 56 48	10.40	TF
ESO565-003        	09 23 09.9	-20 10 03	 7.52	h
MCG +09-16-010    	09 23 17.0	+51 58 23	 7.35	h
UGC04998          	09 25 12.1	+68 22 59	 8.24	TRGB
LV J0926+3343     	09 26 09.4	+33 43 04	19.70	TF
NGC2915           	09 26 11.5	-76 37 35	 3.78	TRGB
[CKT2009]d0926+70 	09 26 27.9	+70 30 24	 3.93	TRGB
UGC05047          	09 28 49.6	+51 33 38	19.68	TF
KDG056            	09 30 12.9	+19 59 30	 8.90	mem
NGC2903-HI-1      	09 30 39.9	+21 43 25	 8.90	mem
NGC2903           	09 32 09.6	+21 30 02	 8.87	BS
ESO373-007        	09 32 45.4	-33 14 44	 8.30	TF
UGC05086          	09 32 48.9	+21 27 54	 8.90	mem
[CKT2009]d0934+70 	09 34 03.7	+70 12 57	 3.66	TRGB
CGCG 035-007      	09 34 44.9	+06 25 32	13.00	TF
LeoT              	09 34 53.4	+17 03 05	 0.42	TRGB
LV J0935-1348     	09 35 21.6	-13 48 52	 7.30	h
[CKT2009]d0939+71 	09 39 15.9	+71 18 42	 3.63	TRGB
LV J0939-2507     	09 39 35.0	-25 07 35	 6.15	h
KISSB023          	09 40 12.7	+29 35 29	19.80	TF
KUG 0937+480      	09 40 19.6	+47 46 38	 7.88	h
KDG058            	09 40 27.0	+00 02 33	10.00	txt
HolmI             	09 40 32.3	+71 11 11	 3.84	TRGB
UGC05186          	09 42 59.8	+33 15 52	 8.30	TF
LV J0944-2254     	09 44 20.1	-22 54 58	 6.05	h
[CKT2009]d0944+69 	09 44 22.5	+69 12 40	 3.98	TRGB
[CKT2009]d0944+71 	09 44 34.4	+71 28 57	 3.39	TRGB
IC0559            	09 44 43.9	+09 36 55	 9.40	TF
F8D1              	09 44 50.0	+67 28 32	 3.77	TRGB
UGC05209          	09 45 04.2	+32 14 18	 6.56	h
FM1               	09 45 10.0	+68 45 54	 3.40	TRGB
RKK1610           	09 45 24.8	-48 08 29	14.90	TF
NGC2976           	09 47 15.6	+67 54 49	 3.56	TRGB
AGC191803         	09 48 05.9	+07 07 45	14.90	TF
KK77              	09 50 10.0	+67 30 24	 3.48	TRGB
KK78              	09 50 19.6	+31 27 24	 7.10	mem
DDO064            	09 50 22.4	+31 29 15	 7.11	BS
UGC05288          	09 51 17.2	+07 49 38	 6.85	BS
NGC3037           	09 51 24.0	-27 00 40	 8.10	h
BK3N              	09 53 48.5	+68 58 09	 4.02	TRGB
LV J0954+3620     	09 54 50.6	+36 20 02	15.40	TF
KKSG15            	09 55 10.5	-06 16 12	 9.70	mem
[CKT2009]d0955+70 	09 55 13.6	+70 24 29	 3.93	TRGB
MESSIER081        	09 55 33.5	+69 04 00	 3.63	Cep
MESSIER082        	09 55 53.9	+69 40 57	 3.53	TRGB
LV J0956-0929     	09 56 37.6	-09 29 11	 5.18	h
DDO068            	09 56 45.7	+28 49 30	 9.80	TF
KDG061            	09 57 02.7	+68 35 30	 3.60	TRGB
ClumpI            	09 57 21.2	+68 42 55	 3.60	mem
A0952+69          	09 57 29.0	+69 16 20	 3.87	TRGB
HolmIX            	09 57 32.4	+69 02 35	 3.61	TRGB
[CKT2009]d0958+66 	09 58 48.5	+66 50 59	 4.04	TRGB
LeoA              	09 59 26.4	+30 44 47	 0.81	TRGB
[CKT2009]d0959+68 	09 59 33.1	+68 39 25	 3.60	mem
KKSG16            	09 59 47.5	-09 20 36	 9.70	mem
SexB              	10 00 00.1	+05 19 56	 1.36	TRGB
KKH57             	10 00 16.0	+63 11 06	 3.91	TRGB
LV J1000+5022     	10 00 25.5	+50 22 45	 7.97	h
LV J1000+3032     	10 00 36.5	+30 32 10	 7.10	TF
ClumpIII          	10 00 40.4	+68 39 37	 3.60	mem
MCG -01-26-009    	10 01 33.6	-06 31 30	 9.70	mem
KKSG17            	10 01 38.4	-08 14 56	 9.70	mem
UGCA193           	10 02 36.2	-06 00 43	 9.70	mem
NGC3109           	10 03 07.2	-26 09 36	 1.32	TRGB
NGC3077           	10 03 21.0	+68 44 02	 3.82	TRGB
GARLAND           	10 03 42.0	+68 41 36	 3.82	TRGB
ESO499-038        	10 03 50.2	-26 36 46	15.30	TF
NGC3104           	10 03 57.4	+40 45 25	16.00	TF
Antlia            	10 04 04.0	-27 19 55	 1.32	TRGB
BK5N              	10 04 40.3	+68 15 20	 3.78	TRGB
UGC05427          	10 04 41.0	+29 21 59	 7.11	BS
KDG063            	10 05 07.3	+66 33 18	 3.50	TRGB
NGC3115           	10 05 14.0	-07 43 07	 9.68	SBF
UGC05423          	10 05 30.6	+70 21 52	 8.71	TRGB
KDG065            	10 05 34.4	-07 44 57	 9.70	mem
KKSG18            	10 05 41.6	-07 58 53	 9.70	mem
[CKT2009]d1006+67 	10 06 46.2	+67 12 04	 3.87	TRGB
KDG064            	10 07 01.9	+67 49 39	 3.70	TRGB
Segue 1           	10 07 03.2	+16 04 25	 0.02	CMD
UGC05456          	10 07 19.7	+10 21 44	 5.60	TRGB
KKH58             	10 07 22.7	+38 58 11	18.40	TF
IKN               	10 08 05.9	+68 23 57	 3.75	TRGB
LeoI              	10 08 26.9	+12 18 29	 0.25	TRGB
[CKT2009]d1009+70 	10 09 34.9	+70 32 55	 9.00	TRGB
SexA              	10 11 00.8	-04 41 34	 1.32	Cep
UGC05497          	10 12 48.4	+64 06 27	 3.70	TRGB
SexDSph           	10 13 03.0	-01 36 52	 0.09	TRGB
[CKT2009]d1014+68 	10 14 55.8	+68 45 27	 4.57	TRGB
[CKT2009]d1015+69 	10 15 06.9	+69 02 15	 4.07	TRGB
KUG 1013+414      	10 16 15.6	+41 09 59	11.12	mem
NGC3184           	10 18 17.0	+41 25 28	11.12	SN
LV J1018+4109     	10 18 22.2	+41 09 57	11.10	mem
HIJASS J1021+6842 	10 21 00.2	+68 42 00	 3.70	mem
HS117             	10 21 25.2	+71 06 58	 3.96	TRGB
LV J1021+0054     	10 21 38.9	+00 54 00	 6.78	h
LeoP              	10 21 45.1	+18 05 17	 2.00	txt
AGC731448         	10 23 45.0	+27 06 39	13.50	TF
KKSG19            	10 24 28.3	-12 25 57	 5.11	h
NGC3239           	10 25 04.9	+17 09 49	 7.90	TF
DDO078            	10 26 27.9	+67 39 24	 3.72	TRGB
UGC05672          	10 28 20.9	+22 34 17	11.40	TF
IC2574            	10 28 22.4	+68 24 58	 4.02	TRGB
LV J1028+4240     	10 28 33.0	+42 40 08	 7.55	h
[CKT2009]d1028+70 	10 28 39.7	+70 14 01	 4.00	TRGB
AGC749315         	10 29 06.4	+26 54 38	21.50	TF
DDO082            	10 30 35.0	+70 37 10	 4.00	TRGB
LV J1030+0607     	10 30 44.3	+06 07 38	 7.80	TF
AGC205156         	10 30 52.9	+12 26 48	10.43	TF
AGC731457         	10 31 55.8	+28 01 33	 9.20	TF
NGC3274           	10 32 17.1	+27 40 07	 7.98	BS
BK6N              	10 34 31.9	+66 00 42	 3.85	TRGB
UMa I             	10 34 52.8	+51 55 12	 0.10	TRGB
AGC202248         	10 34 56.1	+11 29 32	10.40	mem
ESO501-023        	10 35 23.2	-24 45 15	 7.00	TF
LeG03             	10 35 48.8	+08 28 47	10.40	mem
KUG 1033+366B     	10 36 17.6	+36 25 31	 8.10	h
NGC3299           	10 36 23.8	+12 42 27	10.40	mem
DDO083            	10 36 43.3	+31 32 48	10.90	txt
AGC205165         	10 37 04.8	+15 20 15	10.40	mem
AGC200499         	10 38 08.0	+10 22 51	10.40	mem
AGC208397         	10 38 58.1	+03 52 27	26.20	TF
UGC05797          	10 39 25.2	+01 43 07	 7.00	h
LeG04             	10 39 40.2	+12 44 06	10.40	mem
LeG05             	10 39 43.3	+12 38 04	10.40	mem
LeG06             	10 39 55.7	+13 54 28	10.40	mem
AGC208399         	10 40 10.7	+04 54 32	20.90	TF
UGC05812          	10 40 56.6	+12 28 19	10.40	mem
[CKT2009]d1041+70 	10 41 16.8	+70 09 03	 3.91	TRGB
FS04              	10 42 00.3	+12 20 06	10.40	mem
LeG09             	10 42 34.6	+12 09 02	10.40	mem
DDO084            	10 42 41.9	+34 26 56	 8.11	h
AGC205268         	10 42 52.4	+13 44 28	10.40	mem
